Rating,RatingSource,imdbID
 8.2/10, Internet Movie Database,tt0473406
 6.6/10, Internet Movie Database,tt0037508
 5.6/10, Internet Movie Database,tt0025194
 6.7/10, Internet Movie Database,tt0040810
 1.0/10, Internet Movie Database,tt4287730
 4.7/10, Internet Movie Database,tt0364621
 6.4/10, Internet Movie Database,tt2069782
 6.0/10, Internet Movie Database,tt0250492
 6.6/10, Internet Movie Database,tt0079490
 6.0/10, Internet Movie Database,tt1053876
31%, Rotten Tomatoes,tt1053876
 5.3/10, Internet Movie Database,tt0161286
 8.4/10, Internet Movie Database,tt0992917
 8.8/10, Internet Movie Database,tt0443317
 5.5/10, Internet Movie Database,tt0391282
 5.6/10, Internet Movie Database,tt1303704
 6.4/10, Internet Movie Database,tt0166885
